Res_geocode,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
101,0.007428373682880777,0.025353377012014112,0.4997992189297805,0.15914242109908927,0.3082766092762353,8.838000000000001,4.417,0.486
102,,0.022480009442585325,0.40788092186113106,0.1425106528509266,0.427128415845357,8.093,3.301,0.577
103,,0.04579139051599371,0.6550630672756911,0.10267734985123861,0.1964681923570766,10.213000000000001,6.69,0.742
104,,0.02670019657724176,0.7044026950364954,0.12773155041101708,0.14116555797524585,10.105,7.118,0.749
105,,0.02654354330017121,0.6738083932241297,0.10321018826648758,0.19643787520921166,8.245000000000001,5.555,0.819
106,0.0025616768627323722,0.007645437092935999,0.7762420604044925,0.11552580731976615,0.09802501832007303,9.825000000000001,7.626,0.827
107,,0.02634344404650682,0.7743315027689136,0.056549982804589276,0.14277507037999038,14.513,11.238,0.848
108,,0.01358227639685522,0.7559246912772012,0.059810297925430383,0.17068273440051313,12.813,9.686,0.927
109,0.008660070024617435,0.004855819324290179,0.5979334393358452,0.13424047531970718,0.25431019599554006,9.912,5.9270000000000005,0.571
110,0.0020358330473140753,0.04922741267390675,0.5811656571079946,0.1597383205191625,0.20783277665162211,6.884,4.001,0.695
111,,0.03852938258504093,0.7827455129230715,0.06996716747498365,0.10875793701690391,13.518,10.581,0.756
112,,0.009107294461622506,0.7177090543388877,0.08108201139585253,0.19210163980363723,11.465,8.228,0.774
113,0.008132583306969855,0.012051253617072271,0.8760534616176122,0.03228664854189697,0.07147605291644879,15.290000000000001,13.394,0.935
114,,0.021847111068530434,0.5850390353399253,0.11527153695305123,0.27784231663849296,12.120000000000001,7.091,0.668
115002,,,0.9972045781415946,0.002795421858405273,,18.668,18.616,0.81
115003,0.01307339141216192,,0.6967615136113663,0.03045071614271936,0.25971437883375237,23.827,16.602,0.875
115004,,0.008437489184626756,0.955198888093808,0.016881374995580217,0.01948224772598501,11.537,11.02,0.809
115006,,,0.868972392251853,0.039237597084039795,0.09179001066410727,13.582,11.802,1.0
115008,,,0.9685624262447373,0.0100772296956011,0.021360344059661522,26.808,25.965,1.0
116,0.01887765974707243,0.004905142508467299,0.7783313641443717,0.03971406997012279,0.15817176362996585,16.064,12.503,0.782
117,0.015211150088390314,0.016074120125866082,0.8736731125503253,0.033714524905240593,0.061327092330177746,12.120000000000001,10.589,0.923
118001,,0.04352119017035764,0.8369159793469696,0.059628247586883516,0.059934582895789214,10.733,8.983,0.959
118002,,0.024523571293794427,0.8499217258447274,0.03587243905585706,0.08968226380562103,14.945,12.702,0.968
118003,0.020808119645527038,0.0500103662986519,0.7914000780332834,0.02858548946131892,0.10919594656121885,15.59,12.338000000000001,0.877
118004,,,0.8694266735958588,0.04298164965635081,0.08759167674779046,13.495000000000001,11.733,1.0
119,,0.00978935906339717,0.7762456241444036,0.06336514190695378,0.15059987488524537,12.371,9.603,0.82
120001,,,0.7934434424973432,0.01830941449983596,0.18824714300282072,11.502,9.126,0.903
120002,,,0.8962300767719414,0.059176923475168494,0.04459299975289002,16.205000000000002,14.524000000000001,0.753
120003,,,0.8193361542826229,0.03500578405579272,0.14565806166158446,17.365000000000002,14.228,1.0
120006,,,0.9243322968640268,0.03330024774531787,0.04236745539065527,33.822,31.263,1.0
121002,,,0.879708708397714,0.018030606190988438,0.10226068541129764,23.114,20.334,1.0
121003,,,0.779162256183763,0.009250714204594853,0.21158702961164216,25.868000000000002,20.155,0.815
121005,,,0.927378080070416,0.013643667300594598,0.05897825262898932,29.69,27.534,0.829
121006,,0.002876415707164547,0.8603481130861295,0.0326256927411081,0.10414977846559793,23.217,19.975,1.0
121007,0.014142823399529299,,0.778735577314902,0.01596877049966102,0.1911528287859078,24.129,18.79,0.951
121008,,,0.9500944085416264,0.02742883867888976,0.022476752779483813,19.592,18.615000000000002,1.0
121009,,,0.9743120998742285,0.02568790012577155,,50.411,49.116,1.0
121010,,0.006285249567517433,0.9365959078174853,0.0030992935042833546,0.05401954911071398,32.926,30.839000000000002,0.801
122002,,,0.6812981294415494,0.04085337416538957,0.277848496393061,12.087,8.235,0.75
122003,,,0.6792594805751514,0.0276306259244392,0.29310989350040934,20.681,14.048,0.744
122005,,,0.6745721272280282,0.0714143156497799,0.254013557122192,13.463000000000001,9.081,0.774
123,0.002269698698304076,0.0050017243943093,0.7249705380646055,0.07642009696827509,0.1913379418745061,12.535,9.088000000000001,0.797
124001,,0.0355665215226295,0.8497584874237473,0.025145578332804047,0.0895294127208192,12.302,10.454,0.867
124003,,,0.7556142937694278,0.04767054025432465,0.19671516597624758,14.16,10.700000000000001,0.881
124004,,,0.9571196996426169,0.0304030204757998,0.012477279881583142,17.467,16.718,1.0
