Res_geocode,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
101,,0.006427899714391992,0.4341643074327023,0.10908880009660396,0.4503189927563018,13.608,5.908,0.359
102,0.009918842627908035,0.01413674543250841,0.6049508368763438,0.0982635769621532,0.27272999810108667,14.548,8.801,0.533
103,,0.016421630111104573,0.5422054411099686,0.10009458908642531,0.3412783396925015,13.802,7.484,0.465
104,,0.007354681070622737,0.6129048929877547,0.053906165013337816,0.32583426092828466,17.034,10.44,0.564
105,,0.0400226976319656,0.5144321305855745,0.1694054239084333,0.2761397478740267,11.687,6.0120000000000005,0.429
106,,0.01614661949383555,0.5950951864800447,0.09323212374919092,0.2955260702769288,15.921000000000001,9.474,0.51
107,,0.03118338384365744,0.6796069447177476,0.06806136132509667,0.22114831011349836,16.342,11.106,0.714
108,,0.05256917187059608,0.47208465559992396,0.0741238320779684,0.4012223404515116,11.956,5.644,0.506
109,0.0005675047563379607,0.015470542169549776,0.47073869295578386,0.07204653547176756,0.4411767246465609,15.617,7.352,0.481
110,,0.01414481422794142,0.5784662329160161,0.07828143417404573,0.3291075186819968,14.203000000000001,8.216,0.478
111,0.008864570763382039,0.0049716103471064525,0.6788317361666458,0.04468675390065933,0.2626453288222063,15.948,10.826,0.733
112,,0.017264137822204838,0.6996464521526481,0.047842586924062895,0.23524682310108427,14.663,10.259,0.738
113,,0.021047504875204293,0.6595899813046149,0.07011259175267082,0.24924992206750995,12.462,8.22,0.748
114,,0.01970121882339542,0.7531925437285935,0.020150602977625828,0.20695563447038526,19.55,14.725,0.882
115,,0.016983418341085906,0.7290995746095809,0.04413014517206226,0.20978686187727108,17.6,12.832,0.88
116,0.005840024427896334,0.013773058353694172,0.8893760055061491,0.033244707468278824,0.05776620424398155,16.407,14.592,0.939
117,0.03754879083780361,0.01327559972346387,0.8214910070283933,0.03393792421364194,0.09374667819669734,13.547,11.129,0.8
118,0.004233561269022497,0.02725698585908888,0.714919132052503,0.08969757800785783,0.16389274281152771,14.561,10.41,0.756
119,,0.01640247873697643,0.7903288833580132,0.05057958161889895,0.1426890562861114,16.536,13.069,0.773
120,0.013392737188757105,0.010320920108517494,0.91211372694069,0.027999109892694406,0.036173505869340934,19.253,17.561,0.913
121001,0.13933350991134594,0.0064143755879753446,0.714805338431864,0.061187321187769185,0.07825945488104553,15.487,11.07,1.0
121004,,,0.9141918617177276,0.01313258033210192,0.07267555795017043,42.800000000000004,39.128,1.0
121005,,0.0032742951913766983,0.8202311167372764,0.03347627832273561,0.14301830974861135,22.885,18.771,0.759
121006,,,0.9763579279420432,0.023642072057956848,,39.965,39.021,1.0
121008,0.05522466925129263,,0.8305266309342392,0.012381079237290562,0.10186762057717766,27.745,23.043,1.0
121009,,,0.7972300874909275,0.03588337522664116,0.16688653728243144,17.913,14.281,0.922
121011,,,1.0,,,47.21,47.21,1.0
121012,0.11568778827668974,,0.7711620769048785,0.033043510519248066,0.08010662429918372,15.957,12.306000000000001,1.0
121013,,,0.633602385852828,0.06407070165567154,0.30232691249150045,16.056,10.173,0.633
121014,,,0.9323050510680327,0.012150784920041095,0.05554416401192616,34.461,32.128,0.904
121016,,,0.8616427537053948,0.010994324497692505,0.12736292179691275,32.227000000000004,27.768,0.836
122,,0.016506997285210802,0.6193781985065707,0.07553850299986355,0.288576301208355,16.602,10.283,0.761
123001,,,0.8589934064303748,0.11671581213832674,0.024290781431298498,11.164,9.59,0.916
123002,,0.008008734154469897,0.8026036952248412,0.03507882337389892,0.15430874724678997,28.235,22.662,0.931
123005,,0.119122396719252,0.6442188940172353,0.06137336835862612,0.17528534090488662,16.857,10.86,0.505
123006,0.02471005494319194,,0.8369072464202333,0.03933766749832371,0.09904503113825114,27.765,23.237000000000002,0.928
123008,,,0.7848888107852485,0.02108471426518827,0.1940264749495632,25.831,20.275000000000002,0.903
123010,,0.061196042531864545,0.7175810025792484,0.04586011466755252,0.17536284022133453,21.603,15.502,0.748
123011,,0.02764823899008703,0.8879620917962089,0.04909706268054304,0.03529260653316113,16.163,14.352,0.829
123012,,,0.8390174615248905,0.010909316451582428,0.15007322202352705,20.332,17.059,1.0
124001,,0.02860098396256081,0.6912190296695894,0.11455201321589287,0.16562797315195685,15.897,10.989,0.748
124002,,,1.0,,,52.432,52.432,1.0
124003,,,0.9279636589473321,0.0363645917709674,0.03567174928170033,20.707,19.215,0.91
124006,,0.02697835400052242,0.7967482500687462,0.04229991387987432,0.13397348205085707,15.384,12.257,1.0
124008,,,0.7742425599937622,0.008308458707722574,0.2174489812985152,22.526,17.44,1.0
124009,,,0.8010166829062513,0.06158952211744135,0.1373937949763073,19.924,15.96,0.775
124012,,0.0036531635600721628,0.7433379388152592,0.019645279926108754,0.2333636176985599,20.249,15.052,0.556
124013,,,0.42720006888458,0.2049236208656046,0.36787631024981526,9.109,3.891,0.731
124015,,0.023720316108027283,0.9014721006356461,0.010477303833283373,0.06433027942304322,19.099,17.217,0.834
124018,,0.024766485892890634,0.9657892855711807,0.009444228535928632,,16.714,16.142,1.0
124021,,0.05269324315310965,0.8961982565910763,0.007775151642513808,0.0433333486133001,21.732,19.476,0.887
125,,0.007884387032875612,0.616711349609149,0.08337058846017364,0.2920336748978017,13.681000000000001,8.437,0.517
126001,,,0.6892540410813129,0.06848606403762801,0.2422598948810591,17.734,12.223,1.0
126002,,0.020166795060224577,0.9289479490102585,0.024285862634259088,0.02659939329525786,19.479,18.095,1.0
126003,,,1.0,,,58.404,58.404,1.0
126004,,,0.43193840211835594,0.008259693705468151,0.559801904176176,32.143,13.884,1.0
126005,,,0.8681553307707901,0.05494864439656434,0.07689602483264557,27.325,23.722,1.0
126006,,,0.7814433760442001,0.008815817053054209,0.20974080690274566,31.618000000000002,24.707,1.0
126007,,,0.9745261996686043,0.02547380033139559,,18.289,17.823,1.0
126008,,,0.8715319138664003,0.014485427370761505,0.1139826587628381,25.571,22.286,0.694
126009,,,0.99423954508052,0.005760454919479989,,22.436,22.307000000000002,0.702
126011,,0.013282755273232,0.8847099366342251,0.10200730809254278,,13.676,12.1,0.83
127,0.007241159750456547,0.014274267225699248,0.749118944994046,0.07102321955206341,0.1583424084777348,14.030000000000001,10.51,0.741
128,,0.0072353962881888355,0.8423158613962805,0.04027754299801872,0.11017119931751197,17.716,14.922,0.928
129001,,,0.9717569253884021,0.006923203354687362,0.021319871256910445,27.991,27.2,0.863
129002,,,0.9374709459693588,0.012179067039829898,0.050349986990811384,16.936,15.877,0.906
129003,,,0.974078640020763,0.02592135997923696,,30.824,30.025000000000002,1.0
129004,,,1.0,,,21.422,21.422,1.0
129005,,,0.8008345158767719,0.07686509945883502,0.12230038466439314,20.019000000000002,16.032,0.655
129007,,,0.8011273873558871,0.198872612644113,,15.074,12.076,0.676
129008,,,0.721958472924669,0.031116633517207608,0.24692489355812347,16.479,11.897,1.0
129009,,,0.6359814254007065,0.2879809297646652,0.07603764483462822,6.428,4.088,0.37
129010,,,0.7616969850063371,0.06698384657202897,0.1713191684216339,17.186,13.091000000000001,0.701
129011,,,0.46660001971084936,0.13328271130229816,0.4001172689868525,9.51,4.438,0.804
129012,,,0.9307497714597134,0.015275187455252921,0.05397504108503371,16.932,15.759,0.856
130,0.011563859459895735,0.00146164814433936,0.6908293704678056,0.06074838979157808,0.23539673213638124,14.864,10.268,0.694
131001,,,0.7384188100799404,0.008507656891010214,0.2530735330290494,25.139,18.563,1.0
131002,,,0.838118879396024,0.16188112060397605,,9.894,8.292,1.0
131004,,,1.0,,,27.233,27.233,1.0
131005,,,0.6029104364504912,0.17059566019524525,0.2264939033542634,12.296,7.413,0.695
131008,,,0.9662179252825792,0.019778319715413478,0.014003755002007387,31.295,30.238,0.653
131012,,,0.6432751996557444,0.035922045965899485,0.3208027543783561,23.166,14.902000000000001,1.0
131014,,0.04000913088431967,0.8658517398467439,0.047559834477303234,0.04657929479163329,33.092,28.653000000000002,0.874
131017,,0.010620442989140113,0.9389166121273791,0.03981432713089454,0.010648617752586215,22.375,21.008,0.911
131019,,,0.8307916780495866,0.016066961897435155,0.15314136005297832,16.364,13.595,0.848
131020,,,0.8680628050576897,0.006184412663662507,0.12575278227864778,22.88,19.861,1.0
132001,,0.020993216781933926,0.8723015068850524,0.015710751201769124,0.09099452513124467,20.385,17.782,1.0
132002,,,0.9143054223115453,0.03079537621297347,0.05489920147548129,21.559,19.711000000000002,0.901
132004,,,0.8600188024067698,0.07914998811483684,0.06083120947839327,13.095,11.262,0.854
132005,,0.026328781381558294,0.6551300507529744,0.05572178199508112,0.2628193858703863,16.683,10.93,1.0
132007,,0.06467541254273107,0.5525788225766382,0.02841010944732899,0.35433565543330187,18.484,10.214,0.791
132009,,,0.9862267276150378,0.008149865316545709,0.005623407068416539,18.674,18.417,0.43
132011,,,0.6722356792546085,0.017955764394105844,0.30980855635128574,15.505,10.423,0.763
132013,,,0.8682939142034655,0.1317060857965345,,11.142,9.674,1.0
132014,,,0.9678282315406138,0.019425353068231666,0.01274641539115458,29.533,28.582,1.0
133001,,,0.9889653659173295,0.011034634082670422,,44.332,43.842,1.0
133002,,,0.9493972221182172,0.04029826473462977,0.010304513147153117,17.166,16.298000000000002,0.842
133003,,,0.750817179981181,0.016005036387788916,0.23317778363103006,32.761,24.597,1.0
133004,,,0.8829903084435319,0.07229768555933747,0.044712005997130724,12.193,10.766,0.847
133005,,,0.956901052267511,0.007542149011832823,0.03555679872065624,36.507,34.933,0.903
