Res_geocode,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Trip_Weight,HH_PNR,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
005-002,,,0.4541599697335746,0.007849380700462637,0.5379906495659629,25.708278344444444,34,24.668,11.203,0.891
005-003,,0.002790246704432194,0.7961548504550201,0.021283161075282435,0.1797717417652652,80.11064020194969,168,18.246,14.527000000000001,0.819
005-008,,,0.582042777348385,0.027417045663437254,0.3905401769881776,55.18340104529412,98,18.17,10.576,0.964
005-009,,0.002452428582868738,0.7779800241310977,0.037905048405110144,0.1816624988809234,84.81946279067228,132,18.093,14.076,0.91
005-010,0.006233925181507445,,0.7160963066027354,0.03941544080337482,0.23825432741238228,73.68338891614754,140,18.594,13.315,0.843
005-011A,,,0.687901613347375,0.04978711953714729,0.26231126711547775,80.87198884365384,163,15.200000000000001,10.456,0.693
005-012,,0.013021437752227038,0.5164554278272451,0.05721115736210928,0.41331197705841854,51.0846584046875,70,16.084,8.307,0.86
005-013,,0.0037592668697308132,0.7841624806906841,0.03934239988684378,0.1727358525527415,53.68541321433333,94,26.456,20.746,0.888
005-016,,,0.6993272064065912,0.05310235946302159,0.24757043413038735,86.45186054550848,124,13.582,9.498,0.684
005-017,,,0.6542387299105686,0.05372419845125853,0.29203707163817283,80.23692951442624,126,12.342,8.075,0.743
005-018,,0.0007177947224243233,0.4436602835516827,0.059359193361122074,0.496262728364771,71.85248646098039,110,13.872,6.155,0.498
005-019,0.000699307925701847,0.011567332847080643,0.7439489119318821,0.036043974848351125,0.2077404724469844,86.14712767921985,151,21.316,15.858,0.69
005-020,,0.0014030265856503654,0.5080276939546747,0.07854515343011849,0.4120241260295563,69.02926127106667,81,13.496,6.856,0.699
005-021,,,0.524882001026896,0.059805516705734904,0.4153124822673691,82.2845089605785,119,18.326,9.619,0.772
005-022,,,0.46240019947360866,0.06318907385368927,0.4744107266727022,67.78530201628205,83,11.742,5.43,0.632
005-023,0.0009162599164648584,0.006349468774279268,0.5002251562375576,0.08046847834662711,0.4120406367250711,77.79017014069768,130,14.064,7.035,0.603
005-024A,0.006515298841648244,0.0048914020834465435,0.5973538598895053,0.061453460346402165,0.32978597883899763,81.4459758158156,151,12.638,7.55,0.56
005-025,0.0008492857570372781,0.0045259911804589655,0.6765020507922924,0.07071399664219355,0.24740867562801783,80.55535532015267,142,18.777,12.703,0.78
005-027,0.0011915266568313463,0.012141512310916576,0.5957255445680489,0.08573052342483853,0.3052108930393647,73.47880094456522,146,14.537,8.66,0.748
005-028,,,0.4559744033220884,0.055926737150694315,0.4880988595272174,73.80154925027779,115,17.977,8.197000000000001,0.823
006-002,0.002908485226854427,,0.6275377614973002,0.03448704695440234,0.33506670632144303,74.17136246761194,68,14.544,9.127,0.809
006-003A,0.007083062019962601,0.019940380101463526,0.7249783068225575,0.03180697544783582,0.21619127560818055,89.80011688278847,105,11.918000000000001,8.64,0.864
006-004A,,0.0019574443245205927,0.7387910148769518,0.026399568427661627,0.23285197237086597,74.056425001625,85,11.384,8.411,0.796
006-006A,,,0.7355041297740238,0.02870697291434997,0.2357888973116262,84.63015340492538,146,17.758,13.061,0.827
006-006B,,,0.6263562893858092,0.06222437008796165,0.31141934052622905,84.95536913256636,123,14.184000000000001,8.884,0.786
006-012,,,0.44747243753911026,0.021331735234140566,0.5311958272267493,10.859336593999998,9,14.555,6.513,0.787
006-013A,,0.002937781016641379,0.7648381283413734,0.014768980256070754,0.21745511038591442,61.141745986949154,63,16.451,12.583,0.984
006-016A,,,0.8710379102795744,0.0031846942478996293,0.12577739547252592,74.51488522771929,57,22.176000000000002,19.316,0.911
006-016B,0.0010931815752507359,,0.8633741587949716,0.023011629012148035,0.11252103061762962,83.06926923,159,13.56,11.707,0.955
006-016C,0.0639950031598061,,0.675577464764446,0.03867261791177771,0.2217549141639702,22.2402319135,40,10.93,7.384,1.0
007-003,,,0.7955961922458533,0.03199358885443232,0.1724102188997143,18.026174710794116,35,16.4,13.048,0.914
007-006A,0.003445405626833805,,0.4461342684021688,0.03934762666247236,0.511072699308525,72.17249111293651,132,14.133000000000001,6.305,0.647
007-007A,0.002152249728721391,,0.6427567312123695,0.039028803296340474,0.31606221576256854,76.69729595783505,105,14.577,9.370000000000001,0.703
007-010,,,0.5201389671303862,0.05835844396618668,0.4215025889034271,73.77254538958678,130,12.534,6.519,0.714
007-011,,,0.5039450918876536,0.039067302788690854,0.45698760532365573,89.90882757181818,131,11.602,5.847,0.591
007-012,,,0.513252616419478,0.04099651844998983,0.4457508651305322,72.21139949443182,95,13.134,6.7410000000000005,0.813
007-013,,,0.5809499676115263,0.027882221056805927,0.3911678113316678,63.10294743278351,102,17.223,10.006,0.856
007-016,,0.011707216154526506,0.7912566494714349,0.047484623519826394,0.14955151085421226,47.135169436417904,64,13.629,10.784,0.929
007-022,0.07207049755152341,0.014081144952167448,0.582862406442331,0.0294825513289559,0.30150339972502227,79.20554366377246,166,16.228,9.458,0.863
007-026,,0.0012679351080639898,0.6033441433401704,0.025504654620367932,0.36988326693139756,80.83390725073171,119,17.907,10.804,0.751
058-001,,,0.6311517885471648,0.007969785808989606,0.36087842564384565,33.065268678392854,52,12.736,8.039,0.898
058-003A,0.021695587282924093,,0.6245939595573416,0.04255012028935238,0.3111603328703819,70.80923211860656,127,13.692,8.552,0.877
058-003B,,0.0060535873504717974,0.7268263388127276,0.034831431230981376,0.23228864260581916,73.16915697906475,143,18.343,13.332,0.957
058-009,,,0.3759904462643511,0.03779771132492867,0.5862118424107202,69.33547460642858,136,15.515,5.8340000000000005,0.807
058-010,,,0.6773674369526456,0.031031580737573915,0.29160098230978043,73.66670131763637,115,16.187,10.965,0.841
058-012,,,0.6924733149187805,0.04822041435924086,0.2593062707219787,62.210434083928575,89,13.055,9.040000000000001,0.869
058-013,0.028348995134107578,,0.7931450873328246,0.014468259530840534,0.16403765800222725,68.12618345887323,74,18.896,14.987,0.957
058-015,,,0.6937825122067716,0.033294473296327065,0.2729230144969014,63.37190048880953,91,17.719,12.293000000000001,0.735
058-018,,,0.5683424687930294,0.04519459349859033,0.38646293770838036,82.57146541923728,127,17.302,9.833,0.804
058-019,,,0.5338905794743356,0.05727255100032469,0.4088368695253398,81.7941743310204,167,11.501,6.140000000000001,0.717
