Res_geocode,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
001,0.02797985761685846,0.029906839791239755,0.4652699263354832,0.11976435742775943,0.3570790188286591,14.040000000000001,6.533,0.542
002,,0.05765366940678649,0.3942454674449663,0.1223881099538808,0.42571275319436636,12.05,4.75,0.575
003,,0.02209445437548876,0.5212116253730799,0.13431337748154318,0.3223805427698882,12.885,6.716,0.688
004,,0.039105055249057184,0.6307764531541826,0.10871406273583506,0.22140442886092515,14.692,9.267,0.641
005,0.0035152399536058252,0.03405608678775308,0.5710712744896352,0.10725964377910624,0.28409775498989975,16.196,9.249,0.639
006,0.0213976751935068,0.03138418554187034,0.5590876630003965,0.0983873237537449,0.2897431525104814,17.254,9.647,0.774
007,0.03481856782105292,0.03892130705042795,0.6136373051220596,0.06141865134495353,0.251204168661506,16.829,10.327,0.694
008,0.016799688058190366,0.006668999497186233,0.7172128204140696,0.04241640406161973,0.21690208796893415,18.606,13.345,0.784
009,0.009236480956770519,0.02065479345021725,0.7075570000256085,0.08089067613797386,0.18166104942942995,17.259,12.212,0.781
010,0.003350166568063225,0.03732929054202829,0.6928661314939139,0.12150637583536307,0.14494803556063168,10.523,7.291,0.776
011,0.006421911837348707,0.01897286035774082,0.6350825576619386,0.08161178466696906,0.2579108854760028,16.171,10.27,0.793
012,0.005238328611387371,0.09423510470300984,0.549353672454138,0.08279535209990554,0.2683775421315593,13.535,7.436,0.675
013,0.021384092074681126,0.0026347790204719287,0.7022557227948337,0.05662532414765976,0.21710008196235347,16.898,11.867,0.789
014,0.008443025740176906,,0.6582509908573823,0.046364180411856956,0.28694180299058375,15.927,10.484,0.677
015,0.010708334498003286,0.03989248232910218,0.6041212594423828,0.06711245672785889,0.278165467002653,12.799,7.732,0.58
016,0.009743859883757096,0.025281355254111376,0.5796840269961848,0.06394457338268059,0.3213461844832661,14.896,8.635,0.754
017,0.03501150905692687,0.03096167876682728,0.658167337655887,0.06490051174879145,0.21095896277156748,14.41,9.484,0.843
018,0.004376657759398872,0.024268633373153454,0.714017969454847,0.06660936306012012,0.19072737635248055,18.289,13.059000000000001,0.818
019,0.009565817534098749,0.015347883955984227,0.6454819803788951,0.06243252353114771,0.26717179459987417,15.183,9.8,0.712
020,0.02562697167161489,0.007973942311621518,0.7543907645378994,0.06368936827278303,0.14831895320608116,16.337,12.325000000000001,0.883
021,0.029400329348546705,0.005350641017290324,0.7846428058648238,0.02862659040824262,0.15197963336109657,21.578,16.931,0.917
022,0.007484597841960508,0.04012517480178241,0.7824218166223683,0.027449958836647692,0.142518451897241,16.962,13.272,0.914
023,0.02812647487816122,0.017412148650169264,0.6708020311950489,0.0569207285792237,0.22673861669739698,17.53,11.759,0.779
024,0.01483862680594386,0.011083927924528081,0.6825411773918093,0.04088513190299273,0.250651135974726,17.764,12.125,0.814
025,0.0065856848347287,,0.7870433752411948,0.048256844330100565,0.15811409559397585,17.549,13.812000000000001,0.808
026,0.01983770912200634,0.01731260769697852,0.8025407958625079,0.02633244647742362,0.1339764408410837,20.025000000000002,16.071,0.961
027,,0.011256053539721223,0.7229601416964717,0.06170230464593171,0.20408150011787535,16.342,11.815,0.86
028,0.010238569140466761,0.009244314161167493,0.7990183123334631,0.034406928471396606,0.14709187589350614,15.255,12.189,0.925
029,0.01920034275298159,0.0025091892013031003,0.7590373097159193,0.03094494427980055,0.18830821404999548,18.728,14.215,0.765
030,0.0031304450346722247,0.01816737454960763,0.5845296057240568,0.041703970929891296,0.352468603761772,18.305,10.700000000000001,0.709
031001,,0.0024412474973076236,0.781766166065725,0.028890588739040008,0.18690199769792737,23.748,18.566,0.696
031005,,0.05817334895013519,0.6826286797355181,0.041397056495179226,0.21780091481916752,22.682000000000002,15.484,1.0
031008,,0.03256489084727151,0.6861507872498039,0.014810678843840783,0.2664736430590837,26.343,18.075,1.0
031009,,0.009735536179921529,0.8057423152528482,0.0348990313726586,0.14962311719457153,19.437,15.661,0.863
031010,,,0.9295714730391941,0.0677202107981196,0.0027083161626863072,48.825,45.386,0.805
032,0.004305137439191537,0.014971923196113198,0.7952062548706061,0.0348454569041742,0.15067122758991502,16.862000000000002,13.409,0.902
033,0.04987292675743056,0.0010039134591235963,0.7742086686584322,0.022620578374333386,0.15229391275068024,24.756,19.166,0.933
034,0.017164694829754613,0.003792420987205728,0.8245430123991885,0.027579319085381075,0.12692055269847005,19.787,16.315,0.924
035001,,,0.8567362486506733,0.049067183042166264,0.09419656830716033,19.679000000000002,16.859,0.944
035003,,0.03845578844977762,0.7946701559731469,0.015602240738086932,0.15127181483898847,16.227,12.895,0.867
035009,,0.0006115583641369027,0.8832440565051386,0.02060574833367359,0.09553863679705088,22.263,19.664,0.917
035012,,0.05399581032831614,0.927530803728473,0.018473385943210845,,24.343,22.579,1.0
036001,,0.05002130052025499,0.77746562350345,0.022598337472795604,0.14991473850349935,27.712,21.545,1.0
036003,0.08981321193833618,,0.7437559981854477,0.014151354117207634,0.1522794357590085,32.144,23.907,1.0
036005,,0.008988138034116862,0.8679118658927251,0.005006174485626999,0.11809382158753105,37.717,32.735,0.969
036007,0.08098073959659367,,0.6599798391165153,0.024763288731277547,0.23427613255561353,20.721,13.676,1.0
036009,,,0.8665513142633596,0.03897056349908976,0.09447812223755063,22.740000000000002,19.706,1.0
037,0.008077625727187007,0.01605873154446626,0.7729288029640174,0.02344399011605552,0.17949084964827378,27.93,21.588,0.906
038001,,0.012108357361491079,0.6741995747557102,0.05634148744585091,0.2573505804369478,18.085,12.193,0.832
038006,,,0.7034992614652525,0.009156288540601869,0.2873444499941456,23.881,16.8,0.805
038008,,0.01918964304351651,0.6680860523574245,0.019906564918539534,0.2928177396805195,25.663,17.145,1.0
038009,,,0.8139263497971521,0.023878938248646373,0.16219471195420165,26.084,21.23,1.0
038015,0.015856572719355793,0.004569440157715726,0.9067048761540265,0.011919804317819109,0.06094930665108295,22.484,20.386,0.894
039001,,,0.9576410648149325,0.005818896403323484,0.036540038781743854,33.01,31.612000000000002,1.0
039002,,,0.9686022378870718,0.008234921006158536,0.023162841106769815,31.687,30.692,0.903
039005,,,0.755365368774188,0.051659876200715445,0.19297475502509664,18.080000000000002,13.657,1.0
039007,,0.055703746958733424,0.7310750144934083,0.02709448545073522,0.186126753097123,23.448,17.142,0.736
039008,,0.027956168500373902,0.9413709301790439,0.006677988055206023,0.023994913265376092,26.277,24.736,1.0
039011,,,0.7996416284576592,,0.20035837154234082,27.53,22.014,1.0
039012,,,0.920782096412279,0.013618262173374213,0.06559964141434667,34.809,32.052,1.0
040002,0.01282135309465777,,0.9142664388379037,0.007788526977436648,0.06512368109000186,41.803000000000004,38.219,1.0
040003,,,0.8895041066186874,0.015927167068176918,0.0945687263131357,24.44,21.739,1.0
040005,0.03793809046197142,,0.7541760675564486,0.021941750058836997,0.18594409192274308,27.45,20.702,0.86
041001,,0.014538879855845371,0.6831427512423898,0.03484117002634543,0.2674771988754194,14.388,9.829,1.0
041003,0.02914628873853241,0.03239143577088384,0.7025045410992823,0.03471626923452314,0.20124146515677827,16.569,11.64,0.903
041004,0.012395352079043643,0.020821222972244903,0.9006654744118986,0.006656884853280107,0.05946106568353279,24.961000000000002,22.481,1.0
042,0.004724760366956647,0.01306100704542102,0.8560525839925104,0.019794578586980915,0.1063670700081311,23.879,20.442,0.914
043001,,,0.6426211145710009,0.03504690369091818,0.3223319817380809,21.609,13.886000000000001,0.957
043003,0.04170999458448186,0.004385031388195521,0.836801381719325,0.01773904127050612,0.09936455103749146,21.27,17.798000000000002,0.923
043006,,,0.8685910078854154,0.011978030637625084,0.11943096147695952,24.277,21.086000000000002,1.0
044001,0.0036004008701689774,,0.836989411104926,0.02482189502168571,0.13458829300321937,24.724,20.694,0.96
044004,,0.0008602027574617024,0.8680277628642098,0.013970195456978621,0.11714183892134984,29.67,25.755,1.0
044010,0.05233477750834046,,0.8685876488738867,0.009778154008744905,0.06929941960902793,33.003,28.666,1.0
045,0.01401440878904774,0.03542614511497568,0.794136008180874,0.026813234823039014,0.12961020309206356,19.258,15.293000000000001,0.932
046,,0.018846401900311463,0.742783254738473,0.032788114625656,0.2055822287355596,23.147000000000002,17.193,0.926
047001,,0.0062378333076946735,0.711429939318092,0.011994507878532307,0.270337719495681,16.381,11.654,0.872
047002,,,0.8926962005940253,0.02348419342461111,0.08381960598136352,22.288,19.897000000000002,0.903
047003,,,0.7726423986621164,0.013909975613258123,0.21344762572462558,18.375,14.197000000000001,0.957
047007,,,0.881228056757191,0.013331822970977913,0.10544012027183107,19.607,17.278,1.0
047015,,,0.6138776559017518,0.011037594348707718,0.3750847497495405,19.442,11.935,0.68
048001,,0.0022918036047149012,0.9003869736760468,0.035632329865791734,0.06168889285344649,26.503,23.863,0.81
048003,,,0.814402034081236,0.030952429486397235,0.1546455364323667,27.183,22.138,1.0
048005,0.01195500960548613,0.008634360567675591,0.8539081363557494,0.010769574697770566,0.1147329187733184,30.745,26.254,0.948
049001,0.005863640508857005,,0.88556451522273,0.014772518916908,0.0937993253515049,25.523,22.602,0.949
049004,,,0.7321260129545497,0.013238508766239082,0.2546354782792112,31.85,23.319,1.0
