Res_geocode,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
75101,0.042842792251297515,0.006381647175738926,0.08683054472538117,0.14222266266074876,0.7217223531868336,6.959269000000001,0.6042770000000001,0.214
75102,0.035082643525436566,0.021231077377374497,0.138182765981699,0.12791528395285107,0.6775882291626389,13.856041,1.914666,0.423
75103,0.1000576894538722,0.03975600710517532,0.2881449296847757,0.11856022935546005,0.45348114440071674,9.634786,2.776215,0.347
75104,0.07181282351511689,0.04982514161980558,0.20005731416533867,0.08920890121112711,0.5890958194886118,10.777712,2.15616,0.557
75105,0.008418351106698075,0.024622959204955188,0.226649951973006,0.13771464039979475,0.602594097315546,9.459336,2.143958,0.317
75106,,0.016798961219688664,0.15333264856141013,0.1242120175012668,0.7056563727176343,8.497995000000001,1.30302,0.367
75107,0.01465485703965429,0.0699208041157148,0.3862755631665203,0.12957126615022246,0.3995775095278882,7.9864880000000005,3.084985,0.502
75108,0.018515804322190077,0.03389728187632527,0.2128733995006937,0.0890254993112892,0.6456880149895017,9.711300999999999,2.067278,0.614
75109,0.014589752499237572,0.04868988580689272,0.15102714527713645,0.13463520746660823,0.6510580089501251,8.831123,1.333739,0.443
75110,0.0728044661711179,0.035935880188770156,0.10248528112869502,0.09643062404792313,0.6923437484634937,9.469916,0.970527,0.329
75111,0.03100783758605322,0.039241556486384166,0.2514458665024769,0.08537743263881643,0.5929273067862694,9.221998,2.318833,0.349
75112,0.006829680359531484,0.01884347165569482,0.21939797321279092,0.06840662145138134,0.6865222533206015,10.95333,2.4031379999999998,0.492
75113,0.016996896669273034,0.031230866587043736,0.21029416960606098,0.08720815132526383,0.6542699158123584,10.006427,2.104293,0.506
75114,0.013103657846654147,0.014043389719131286,0.2699280736537482,0.09281528477303388,0.6101095940074325,9.980621,2.6940500000000003,0.487
75115,0.032931226994973264,0.023260251796666326,0.2055743463568833,0.08235384399801017,0.6558803308534669,9.860903,2.027149,0.51
75116,0.031014834012116826,0.01799957505663924,0.3747305406347982,0.09156453477660968,0.48469051551983594,9.286574,3.479963,0.635
75117,0.014854472738177079,0.020434467965438217,0.2666310123394767,0.08972281720468152,0.6083572297522264,8.638639,2.303329,0.465
75118,0.058186575990653425,0.015566898076323653,0.18791972569360027,0.095515870543211,0.6428109296962116,8.719486000000002,1.6385630000000002,0.344
75119,0.0696558843634542,0.02860605400932327,0.2038580336733783,0.059978612241527694,0.6379014157123166,9.33791,1.903608,0.412
75120,0.02992612435134651,0.03397191418103189,0.20454933243147255,0.08910445756013934,0.6424481714760097,8.806659,1.801396,0.411
77003,,,1.0,,,20.6,20.6,1.0
77035,,,1.0,,,1.6081230000000002,1.6081230000000002,1.0
77038,,,1.0,,,10.594498,10.594498,1.0
77042,,,0.9988423184193299,0.0011576815806700255,,26.500919999999997,26.47024,1.0
77047,,,1.0,,,87.942351,87.942351,1.0
