Res_geocode,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
001,,0.04982352126828472,0.3975781961916902,0.13854875090671506,0.41404953163331,9.951,3.956,0.552
002,0.0007961254631404009,0.04557719281011036,0.359223469544498,0.23997097601507414,0.354432236167177,8.678,3.117,0.522
003,0.0015285925760577198,0.05815177581880215,0.5610923246530186,0.12196108094688668,0.2572662260052348,11.84,6.643,0.662
004,,0.038344769649203705,0.3277325208049009,0.1747618520457445,0.4591608575001509,10.408,3.411,0.54
005,0.010451666564596486,0.03326009462998296,0.5907095905743591,0.0659699935019375,0.29960865472912385,14.794,8.739,0.68
006,0.037442342473026614,0.03389580560113331,0.6851471180394113,0.059043142127365576,0.18447159175906322,14.18,9.715,0.829
007,0.012825582363080049,0.01449895104506932,0.714535291125219,0.055323805722929886,0.20281636974370176,14.272,10.198,0.742
008,0.016050350339206227,0.04439560480630683,0.510069878299905,0.07944266389496102,0.350041502659621,13.336,6.8020000000000005,0.644
009,0.048566098264238085,0.017167411652728486,0.6737814745887934,0.056456651767625425,0.20402836372661448,12.827,8.642,0.689
010,0.014384757380859271,0.03195272138075467,0.6848860589215856,0.07083274610768975,0.19794371620911075,13.02,8.917,0.724
011,0.015058786701584158,0.04074886998029866,0.5847632790580892,0.04877627827636194,0.3106527859836661,13.965,8.166,0.675
012,0.0146719228819255,0.007274075292576148,0.38610278294479816,0.06317963338753012,0.52877158549317,12.067,4.659,0.417
013,0.0031266496452254044,0.0388612364925352,0.45988618642839174,0.10745036344365273,0.39067556399019493,10.65,4.898,0.694
014,0.03932698744781656,0.06255994397316893,0.6387183581664391,0.07145409390713074,0.18794061650544466,11.766,7.515000000000001,0.816
015,0.008263008006544505,0.013457424522462309,0.5046176830999515,0.06787101494005579,0.4057908694309858,12.463000000000001,6.289,0.641
016,0.011541161324160809,0.02924497141978339,0.6769616270417711,0.049720760553025066,0.23253147966125973,15.848,10.729000000000001,0.833
017,0.007750862158694713,0.017916919516604873,0.679970274713366,0.026255620440325686,0.2681063231710088,16.629,11.307,0.855
018,0.0270848129146333,0.03164894418391902,0.7282530501324058,0.045369776663853695,0.16764341610518813,16.849,12.27,0.865
019,0.0030548840445927304,0.005751777758241791,0.7203064762534057,0.03955242721400887,0.2313344347297509,15.02,10.819,0.814
020,0.01287531237628271,0.007650291837045289,0.7534388050443157,0.022698454788839056,0.2033371359535173,17.076,12.866,0.882
021,0.02637820401168486,0.023427290359933517,0.6423324166136722,0.05047155678928766,0.2573905322254217,13.734,8.822000000000001,0.85
022,0.02946824821506842,0.013442697953275712,0.6692370507853568,0.050355035446930846,0.23749696759936825,15.737,10.532,0.817
023001,,0.005613905995360075,0.7920555568171821,0.025202511769456388,0.1771280254180015,19.298000000000002,15.285,0.958
023012,,,0.6819751600974342,0.06250004683557177,0.2555247930669941,10.682,7.285,0.563
023030,0.10604551450892297,,0.7552963705063789,0.030285966782699764,0.1083721482019984,17.261,13.038,0.85
023032,,,0.6996789814377606,0.023362522233583587,0.27695849632865577,14.49,10.138,0.785
023043,,0.02346547282242993,0.7013675942114108,0.09827090641877137,0.17689602654738792,12.65,8.872,0.897
023044,0.06133061566105106,0.029700858509892084,0.7385106266162548,0.034184442583856625,0.13627345662894552,18.354,13.555,0.91
024,0.03953538170722743,0.01811483727598626,0.6567976055391272,0.036914631994082736,0.2486375434835763,17.59,11.553,0.752
025,0.006375418008452069,0.001720951047799588,0.7026095826492996,0.030025922421422623,0.259268125873026,16.483,11.581,0.835
026,0.009223195508504605,0.025160123513299333,0.7965579432245563,0.01246319072005415,0.15659554703358577,18.388,14.647,0.94
027,,,0.42296113728581125,0.10483835498678255,0.4722005077274062,10.516,4.448,0.619
028,0.03247234196019041,0.013385389000237977,0.7876642663734452,0.03529458041026351,0.13118342225586305,14.56,11.469,0.817
029001,0.02221251208111166,0.0006043812335260324,0.8749397509724541,0.012047789290136482,0.09019556642277167,14.455,12.647,0.926
029010,,0.019940713313162522,0.7954317129408897,0.030673559586103533,0.15395401415984425,15.301,12.171,0.884
029015,,,0.8205148785693183,0.02023398642777719,0.15925113500290455,19.175,15.734,0.91
029026,,,1.0,,,18.418,18.418,1.0
030001,,0.008529667000495686,0.9052291490617899,0.07955026919316119,0.006690914744553246,17.168,15.541,0.904
030002,0.02422261296160457,,0.5808587088037617,0.0582321985304264,0.3366864797042074,9.435,5.48,0.891
030003,0.023669326107149065,0.008997437611598675,0.7821466485400153,0.047820004735667825,0.1373665830055691,16.451,12.867,1.0
030005,,,0.8530769335482137,0.0727246724730977,0.07419839397868863,11.632,9.923,0.936
030006,,,0.8827399539190072,0.049813629453152396,0.06744641662784043,10.545,9.309000000000001,0.848
030010,,0.008173153604979935,0.8444905456798485,0.019457762517581127,0.12787853819759046,15.290000000000001,12.912,0.941
030014,,,0.6410857087860433,0.05138195788591577,0.30753233332804086,11.793000000000001,7.5600000000000005,1.0
030016,0.12170973459412746,,0.5938524284940586,0.01166848146129895,0.27276935545051506,19.958000000000002,11.852,0.885
030018,0.08795864769503313,,0.7683193255212564,0.015287408890623029,0.12843461789308763,23.898,18.361,1.0
030023,,,0.17802408777863354,,0.8219759122213666,29.863,5.316,1.0
031,0.006442883401076386,0.010119697060070657,0.7753052897034111,0.016265900239919837,0.19186622959552202,19.167,14.861,0.987
032001,,,0.7623417257446693,0.06424022801019431,0.1734180462451364,12.773,9.737,1.0
032003,,,0.5093759854521028,0.03584707685857268,0.4547769376893245,11.681000000000001,5.95,0.851
032005,,,0.9273929521501659,,0.07260704784983396,16.715,15.502,1.0
032006,,0.09819092882682671,0.6709203128511151,0.018148902109772602,0.2127398562122856,16.89,11.332,0.957
032008,,,0.6284528842405526,0.03472818457976718,0.3368189311796803,20.572,12.928,0.811
032010,,,0.16106511811284963,,0.8389348818871504,24.009,3.867,1.0
032016,,,0.5828494671600764,0.017116866945738118,0.40003366589418543,13.246,7.721,0.705
033001,0.027424717222859045,,0.43833049545935426,0.006386363375349319,0.5278584239424374,9.489,4.159,0.841
033003,0.0041862932590415874,,0.6953527386179765,0.029641957419347997,0.2708190107036339,18.263,12.699,0.869
033006,0.043381427628169926,0.0011612292447677071,0.8510653305076354,0.012554655035011271,0.09183735758441561,20.334,17.305,0.975
033007,,0.015335883386333637,0.912646629509577,0.017679078879288622,0.05433840822480078,16.724,15.263,1.0
033010,0.10273608144319797,,0.7698178702408762,0.024983012901280174,0.10246303541464553,23.231,17.884,1.0
034,0.004629344135695494,0.015636538754511094,0.7470234657728342,0.022221523283462417,0.21048912805349676,18.693,13.964,0.915
035001,0.022390686481944592,0.012570079661399119,0.8982107316949515,0.03111905225512464,0.035709449906580315,19.902,17.877,0.921
035002,0.035255517692416985,,0.8267631373310446,0.028724027044968212,0.1092573179315702,14.683,12.14,0.818
035003,,0.0017717867256343285,0.9106303781297435,0.0031710585794700193,0.0844267765651522,20.903,19.034,1.0
035004,0.08159893762660717,,0.740885337458085,0.04068855343207044,0.1368271714832372,16.251,12.040000000000001,0.931
035013,0.08513082571798594,,0.8745687990005401,0.026771041583217473,0.013529333698256433,20.301000000000002,17.755,1.0
036001,,0.00288265811448433,0.8271976205864421,0.04180387390997347,0.12811584738910012,17.629,14.583,0.852
036002,0.02176894088142528,0.003526214543898818,0.8590926336335902,0.00883070100496526,0.10678150993612047,24.752,21.264,0.941
036009,0.14342008117618887,0.047878875009829,0.6260231234950285,0.01727718326283065,0.16540073705612282,20.031,12.540000000000001,0.889
036011,,0.002431189560392512,0.773083132004833,0.04825105755678652,0.17623462087798797,10.787,8.339,0.849
036012,,,0.9323315061283876,0.005902637708380666,0.06176585616323187,18.055,16.833000000000002,1.0
036014,,,0.8135709430102046,0.005111319802864101,0.18131773718693123,22.762,18.519000000000002,0.921
036018,0.08018668314987296,0.005626786285251449,0.6409154878729496,0.01577938222184598,0.25749166047008004,22.047,14.13,1.0
036025,,,0.9758776622121716,0.024122337787828275,,14.361,14.015,1.0
036026,,0.12129697623221755,0.7132785414541755,0.00808050498008231,0.1573439773335247,21.467,15.312000000000001,1.0
037001,,,0.8642908527410977,0.0037558067587414702,0.13195334050016086,20.168,17.431,1.0
037002,,0.047851879970365295,0.7504956518592941,0.02201091124366128,0.17964155692667924,17.17,12.886000000000001,0.881
037006,,,0.7297344969618073,,0.27026550303819263,14.0,10.216000000000001,0.8
037014,,,0.8544305135976769,0.013168119365214965,0.13240136703710817,21.767,18.598,1.0
038001,,,0.7129379874671351,0.07790083205289694,0.20916118047996793,16.46,11.735,0.68
038002,,,0.9964737420470253,0.0035262579529747582,,12.251,12.208,1.0
038004,,,0.8816187871034441,0.11838121289655584,,10.767,9.492,1.0
038006,,,0.7181357192239046,0.016771491764745718,0.26509278901134964,23.584,16.936,0.889
038009,,,0.9639372817752051,0.036062718224794954,,20.38,19.645,0.687
038010,0.046218286795498595,0.0037042623429224407,0.8890660928722339,0.061011357989345046,,12.934000000000001,11.499,0.872
038011,0.07026792792717929,,0.9211449164490444,0.008587155623776332,,21.241,19.566,1.0
038013,,,0.9407646204243296,0.04179089764263191,0.017444481933038422,14.752,13.878,0.679
039001,0.006720024389491055,,0.9511064782875389,0.007170272217020009,0.03500322510595,22.037,20.959,1.0
039009,0.042796527915563765,,0.7600082822610487,0.009108933354997495,0.18808625646839008,27.673000000000002,21.032,1.0
040001,0.00998836989637155,0.0035771421047875018,0.8137156576779068,0.010765307752344567,0.16195352256858972,23.843,19.402,0.844
040004,,0.021774737406386174,0.8778559489505653,0.012374481988768707,0.08799483165427972,19.426000000000002,17.053,0.95
040006,0.03609921561712403,,0.8281445553014196,0.013974025678277994,0.12178220340317823,25.841,21.400000000000002,1.0
040019,,,0.963883009260946,0.00018580305528740075,0.0359311876837664,24.444,23.562,1.0
041001,0.005588144503205757,0.005445132073333252,0.9224123665562431,0.006431802113723554,0.060122554753494255,18.964,17.492,1.0
041003,0.044476668701575156,0.01768468027432148,0.7758831986465092,0.011674362799857806,0.15028108957773642,20.516000000000002,15.918000000000001,0.703
041004,,0.00945324969942231,0.862075817314238,0.005941033345649799,0.12252989964068997,21.456,18.497,0.897
041006,,0.0035212994565832034,0.8206707381860551,0.04237472857851081,0.13343323377885083,12.296,10.091000000000001,1.0
041024,,0.0037317153029700887,0.8209362170121949,0.05518292517718056,0.12014914250765438,15.144,12.432,1.0
