Res_geo_unit,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
1,,0.04982352126828472,0.3975781961916902,0.13854875090671506,0.41404953163331,9.951,3.956,0.552
10,0.014384757380859271,0.03195272138075467,0.6848860589215856,0.07083274610768975,0.19794371620911075,13.02,8.917,0.724
102,,,0.13341165514755152,0.19376008858192906,0.6728282562705195,10.3,1.374,0.133
103,,0.03914120842507562,0.05797702433252252,0.09742652234739693,0.8054552448950049,9.038,0.524,0.158
104,,0.02790423829307328,0.5033045583832956,0.1260541831479961,0.34273702017563495,10.963000000000001,5.518,0.273
105,,,0.5477885413695631,0.016672368728082823,0.435539089902354,16.275,8.915000000000001,0.385
106,,,0.9809414630651284,0.01905853693487139,,4.652,4.564,0.333
108,,,0.1772284213552147,0.008702014790811927,0.8140695638539733,12.756,2.261,0.667
11,0.015058786701584158,0.04074886998029866,0.5847632790580892,0.04877627827636194,0.3106527859836661,13.965,8.166,0.675
112,,0.050695372651229004,0.04736366596028765,0.02987938147681208,0.8720615799116712,16.511,0.782,0.073
12,0.0146719228819255,0.007274075292576148,0.38610278294479816,0.06317963338753012,0.52877158549317,12.067,4.659,0.417
13,0.0031266496452254044,0.0388612364925352,0.45988618642839174,0.10745036344365273,0.39067556399019493,10.65,4.898,0.694
14,0.03932698744781656,0.06255994397316893,0.6387183581664391,0.07145409390713074,0.18794061650544466,11.766,7.515000000000001,0.816
15,0.008263008006544505,0.013457424522462309,0.5046176830999515,0.06787101494005579,0.4057908694309858,12.463000000000001,6.289,0.641
16,0.011541161324160809,0.02924497141978339,0.6769616270417711,0.049720760553025066,0.23253147966125973,15.848,10.729000000000001,0.833
17,0.007750862158694713,0.017916919516604873,0.679970274713366,0.026255620440325686,0.2681063231710088,16.629,11.307,0.855
18,0.0270848129146333,0.03164894418391902,0.7282530501324058,0.045369776663853695,0.16764341610518813,16.849,12.27,0.865
19,0.0030548840445927304,0.005751777758241791,0.7203064762534057,0.03955242721400887,0.2313344347297509,15.02,10.819,0.814
2,0.0007961254631404009,0.04557719281011036,0.359223469544498,0.23997097601507414,0.354432236167177,8.678,3.117,0.522
20,0.01287531237628271,0.007650291837045289,0.7534388050443157,0.022698454788839056,0.2033371359535173,17.076,12.866,0.882
21,0.02637820401168486,0.023427290359933517,0.6423324166136722,0.05047155678928766,0.2573905322254217,13.734,8.822000000000001,0.85
210,,,0.6999091322126305,0.22716946842344388,0.07292139936392548,4.402,3.081,0.25
22,0.02946824821506842,0.013442697953275712,0.6692370507853568,0.050355035446930846,0.23749696759936825,15.737,10.532,0.817
223,,0.12549625510755458,0.34889424899651694,0.03317119145572629,0.49243830444020226,11.508000000000001,4.015,0.488
224,0.008015216838662347,0.015049668164591742,0.2019911228751233,0.10137116725613605,0.6735728248654865,8.666,1.75,0.308
23,0.036318679884178466,0.015496924174526064,0.7387867247327395,0.04360073757975464,0.16579693362880116,16.108,11.9,0.847
24,0.03953538170722743,0.01811483727598626,0.6567976055391272,0.036914631994082736,0.2486375434835763,17.59,11.553,0.752
25,0.006375418008452069,0.001720951047799588,0.7026095826492996,0.030025922421422623,0.259268125873026,16.483,11.581,0.835
26,0.009223195508504605,0.025160123513299333,0.7965579432245563,0.01246319072005415,0.15659554703358577,18.388,14.647,0.94
27,,,0.42296113728581125,0.10483835498678255,0.4722005077274062,10.516,4.448,0.619
28,0.03247234196019041,0.013385389000237977,0.7876642663734452,0.03529458041026351,0.13118342225586305,14.56,11.469,0.817
29,0.005815608786600119,0.00721800651766976,0.8357489401029256,0.02067457941421011,0.13054286517859445,16.286,13.611,0.909
3,0.0015285925760577198,0.05815177581880215,0.5610923246530186,0.12196108094688668,0.2572662260052348,11.84,6.643,0.662
30,0.019448218615824638,0.00410455627660563,0.6957595305200894,0.03819834844912354,0.24248934613835668,15.863,11.037,0.938
31,0.006442883401076386,0.010119697060070657,0.7753052897034111,0.016265900239919837,0.19186622959552202,19.167,14.861,0.987
313,,,0.8891828453952195,0.1108171546047805,,18.502,16.451,0.634
316,,0.013253887601105857,0.3660246637965689,0.11578497441712406,0.5049364741852012,11.052,4.045,0.283
317,,,0.4051877067678599,0.03788798441031077,0.5569243088218293,17.05,6.908,0.516
32,,0.02495469070559754,0.6772996325424387,0.02696544152269079,0.27078023522927297,15.773,10.683,0.9
328,,,0.5071153518688037,0.012751770154700958,0.48013287797649534,17.064,8.654,0.386
329,,,0.8864361383725939,0.007482498659429096,0.10608136296797693,11.398,10.103,0.81
33,0.04085917508847269,0.0025595918327159834,0.7936567684371417,0.01996811045058279,0.14295635419108677,19.211000000000002,15.247,0.953
330,,0.03000825595494019,0.9478332057025944,0.015474030041428817,0.006684508301036523,15.753,14.931000000000001,0.907
34,0.004629344135695494,0.015636538754511094,0.7470234657728342,0.022221523283462417,0.21048912805349676,18.693,13.964,0.915
