cities,Population,Area,Pop. density,Built-up Density,Dist. to center,Dist. to subcenter,Intersec. Density,Street length avg.,Cycle lane share,Urban fabric area,Comm. area,Transit accessibility,Pop
Berlin,3748148.0,891.1770232444926,4205.840032044569,1.0996562361726405,8.501587383082825,2.3651125076343766,23.649296541453282,144.01194475176905,5.17,25.237160205378157,10.365251246190692,2958.28159488424,3.748148
Dresden,565461.0,328.2610601663084,1722.595423634829,0.5444542831446447,4.417224153611234,2.9482573215122025,18.055751105529126,140.13523704028088,8.41,14.411045668199485,7.430500463380055,2406.5620637676343,0.565461
Düsseldorf,642247.0,215.2481671004404,2983.75130739353,1.0714828342494318,4.599794506107094,2.555425565841473,27.55888739917575,117.11502095880495,8.82,19.800079781279184,13.65464824066534,2133.9748687805413,0.642247
Frankfurt am Main,747318.0,251.2879074279658,2973.951304100163,0.29909300116042514,5.217462744911191,2.1878475762000846,27.67777929164042,121.50801512827661,17.06,12.253402527305598,12.084122509086782,1439.98331946967,0.7473179999999999
Kassel,204927.0,108.1013960969339,1895.692446157154,0.1384935300242333,3.085375127534866,2.6550720281798403,25.577838028295638,124.84844472406927,4.5,18.99439484498679,9.45703982539961,931.9206788736647,0.204927
Leipzig,595776.0,297.88524759659,2000.018479622151,0.7395777907776804,4.254474027501432,2.3894331262209474,20.974519719960465,130.18622793412217,8.23,13.378510924091216,12.289331964187797,1414.3790245743844,0.595776
Magdeburg,242478.0,201.6832122549423,1202.271608474235,0.6275839412850207,2.7341315370173906,1.7981995139408704,15.593761943976249,144.72349681632625,13.26,9.740381422568277,8.351607600762508,1275.4094135867913,0.242478
Potsdam,178253.0,188.3397217715682,946.4440019519508,0.2595380833047743,4.147737894652316,2.007089097400421,10.613799262295409,147.28047425334736,4.74,4.993357169892927,2.677160165306995,572.0381010112243,0.178253
Clermont,284830.0,311.1662032228199,915.362905900288,0.44978819154686883,2.4919629473293003,1.8516995911088963,25.336973712104676,97.33748329422247,3.0,12.089983143142565,7.702761755196629,1125.258218918756,0.28482999999999997
Dijon,252208.0,241.0687347227989,1046.207838980074,0.40468487541340076,2.285327324662304,2.5413556982741308,21.773911325202363,105.65062072031998,2.53,8.380765139978422,7.7531690935482525,1333.3287573359805,0.252208
Lille,1131985.0,613.1360595236828,1846.221539929306,0.707737086359168,6.274935435591083,1.9510153185457315,33.7037704480646,102.38286260038527,8.559999999999999,22.05847938093109,12.419867355455676,1155.2454955839505,1.131985
Lyon,1360454.0,549.2420055617697,2476.966412298555,0.9723971672602807,4.844984271232452,2.831768424981862,32.19527985191586,114.13199939621427,6.859999999999999,23.448676198358555,11.714617320136437,1911.443513320139,1.3604539999999998
Montpellier,451842.0,438.6415114829662,1030.094024782117,0.4191897658667476,3.5569779544679982,2.3802579372442265,25.300881007399443,97.11369343811302,4.279999999999999,10.481887140578053,4.912971389373482,897.0057005154007,0.45184199999999997
Nantes,629085.0,535.1274890993161,1175.57967552522,0.4743824206653065,3.9314091411484635,2.5522034402766525,27.70814500025207,99.25862829240207,17.09,16.262251713383684,8.531164769769886,1744.6912973363899,0.629085
Nimes,149051.0,161.1510082767825,924.9150941953754,0.43273446682575756,1.9654771392985324,1.8183296634729202,21.129250291607345,110.99375165607647,3.84,12.66718451508731,6.520493387944865,1024.8586672271463,0.149051
Paris,6902389.0,815.27667535964,8466.314821229462,2.26633216509529,6.718929985517196,2.9613233247221946,56.788083603123745,100.9436443534154,14.580000000000002,30.083878617904702,17.48894269963689,3947.3650607683494,6.902388999999999
Toulouse,902909.0,781.3605096070419,1155.560063374699,0.5191825731744654,3.964844019318834,2.3387744275913276,27.628722313270703,102.33956706531724,4.390000000000001,21.96668867195998,9.346651889093243,1431.3705745166249,0.902909
Madrid,5278678.409803815,1352.90845342634,3901.726237599575,0.9804659539247678,8.291385415554592,2.051796391185809,31.68654570032202,104.077231951067,1.41,11.210861979861022,11.95532082533962,4360.055726833713,5.278678409803815
Wien,1863662.0,856.6076394709165,2175.630842086688,1.1044694856674953,5.641626045630172,2.7762347864701793,19.675285654012875,132.39224791353942,2.85,13.900582735088982,7.185112284255733,2217.1816453502806,1.863662
