cities,Population,Area,Pop. density,Dist. to center,Dist. to subcenter,Transit accessibility,Pop
Berlin,3748148.0,891.1770232444926,4205.840032044569,8.42645262695648,2.3628380983729023,2958.28159488424,3.748148
Dresden,565461.0,328.2610601663084,1722.595423634829,4.9128765589107175,3.0231099073949528,2406.5620637676343,0.565461
Düsseldorf,642247.0,215.2481671004404,2983.75130739353,4.4612671723690465,2.4765864051061035,2133.9748687805413,0.642247
Frankfurt am Main,747318.0,251.2879074279658,2973.951304100163,4.95401696380748,2.07454895752508,1439.98331946967,0.7473179999999999
Kassel,204927.0,108.1013960969339,1895.692446157154,2.896924745975291,2.5930590571314016,931.9206788736647,0.204927
Leipzig,595776.0,297.88524759659,2000.018479622151,4.439803042406921,2.6134121192042543,1414.3790245743844,0.595776
Magdeburg,242478.0,201.6832122549423,1202.271608474235,3.326607191637387,1.6860114937358386,1275.4094135867913,0.242478
Potsdam,178185.0,188.3397217715682,946.0829522521828,3.8802009211961703,2.117823247331609,569.4526619559958,0.17818499999999998
Clermont,284405.0,311.1662032228199,913.9970763352575,4.0912201238418975,2.3820708546022606,1173.6183741861055,0.28440499999999996
Dijon,252120.0,241.0687347227989,1045.842797863891,3.120561316366732,2.606100137011565,1355.5909451212106,0.25212
Lille,1128691.0,613.1360595236828,1840.849159771859,7.8146045146411085,2.4867902453273762,1169.343671907021,1.1286909999999999
Lyon,1357466.0,549.2420055617697,2471.526187461885,5.987011993655815,3.2169485082491645,1966.6699390781644,1.3574659999999998
Montpellier,448710.0,438.6415114829662,1022.95379769916,4.952416172901551,3.084924328863399,918.9115453649064,0.44871
Nantes,628868.0,535.1274890993161,1175.174164680757,5.20535579433282,2.596942882660167,1805.1780081652566,0.628868
Nimes,149205.0,161.1510082767825,925.8707196155746,2.145546705252829,1.9467781021376467,1018.0928672068807,0.149205
Paris,6902389.0,815.27667535964,8466.314821229462,8.213515924656496,3.347067802306827,3947.3650607683494,6.902388999999999
Toulouse,902158.0,781.3605096070419,1154.598919330731,6.878538924164716,3.324729533163367,1439.4004928347579,0.9021579999999999
Madrid,5278678.409803815,1352.90845342634,3901.726237599575,9.693306927047033,2.354381251959797,4360.055726833714,5.278678409803815
Wien,1863662.0,856.6076394709165,2175.630842086688,5.56939446963585,3.0280222358936224,2217.1816453502806,1.863662
