cities,Population,Area,Pop. density,Built-up Density,Dist. to center,Dist. to subcenter,Intersec. Density,Street length avg.,Cycle lane share,Urban fabric area,Comm. area,Transit accessibility,Pop,Urban area,UrbPop Density
Berlin,3748148,891.177023,4205.840032,1.099656,8.501587,2.365113,23.649297,144.011945,5.17,25.23716,10.365251,42.13428393,3.748148,0.68444,6144.935484
Dresden,565461,328.26106,1722.595424,0.544454,4.417224,2.948257,18.055751,140.135237,8.41,14.411046,7.4305,36.46449904,0.565461,0.438014,3932.743961
Düsseldorf,642247,215.248167,2983.751307,1.071483,4.599795,2.555426,27.558887,117.115021,8.82,19.80008,13.654648,31.51171559,0.642247,0.588414,5070.840952
Frankfurt am Main,747318,251.287907,2973.951304,0.299093,5.217463,2.187848,27.677779,121.508015,17.06,12.253403,12.084123,22.16598961,0.747318,0.59205,5023.143001
Kassel,204927,108.101396,1895.692446,0.138494,3.085375,2.655072,25.577838,124.848445,4.5,18.994395,9.45704,13.92202495,0.204927,0.581253,3261.388013
Leipzig,595776,297.885248,2000.01848,0.739578,4.254474,2.389433,20.97452,130.186228,8.23,13.378511,12.289332,20.00940095,0.595776,0.549292,3641.082403
Magdeburg,242478,201.683212,1202.271608,0.627584,2.734132,1.7982,15.593762,144.723497,13.26,9.740381,8.351608,19.81036791,0.242478,0.427579,2811.809478
Potsdam,178253,188.339722,946.444002,0.259538,4.147738,2.007089,10.613799,147.280474,4.74,4.993357,2.67716,8.486137642,0.178253,0.315195,3002.726661
Clermont,284405,311.166203,913.997076,0.449788,2.389599,1.81513,25.336974,97.337483,3,12.089983,7.702762,4.998101663,0.284405,0.371457,2460.571707
Dijon,252120,241.068735,1045.842798,0.404685,2.248755,2.536031,21.773911,105.650621,2.53,8.380765,7.753169,21.1148725,0.25212,0.371388,2816.04039
Lille,1128691,613.13606,1840.84916,0.707737,6.248445,1.933862,33.70377,102.382863,8.56,22.058479,12.419867,9.540071457,1.128691,0.497026,3703.728855
Lyon,1357466,549.242006,2471.526187,0.972397,4.71097,2.831139,32.19528,114.131999,6.86,23.448676,11.714617,16.03198936,1.357466,0.591062,4181.501649
Montpellier,448710,438.641511,1022.953798,0.41919,3.546149,2.364823,25.300881,97.113693,4.28,10.481887,4.912971,8.740275972,0.44871,0.328501,3114.008015
Nantes,628868,535.127489,1175.174165,0.474382,3.872439,2.555509,27.708145,99.258628,17.09,16.262252,8.531165,9.4880785,0.628868,0.444793,2642.067426
Nimes,149205,161.151008,925.87072,0.432734,1.969578,1.818419,21.12925,110.993752,3.84,12.667185,6.520493,6.881420581,0.149205,0.367958,2516.238194
Paris,6902389,815.276675,8466.314821,2.266332,6.71893,2.961323,56.788084,100.943644,14.58,30.083879,17.488943,38.64037656,6.902389,0.877209,9651.426145
Toulouse,902158,781.36051,1154.598919,0.519183,3.949149,2.33631,27.628722,102.339567,4.39,21.966689,9.346652,9.391838923,0.902158,0.489946,2356.586074
Madrid,5278678,1352.908453,3901.726238,0.980466,8.291385,2.051796,31.686546,104.077232,1.41,11.210862,11.955321,67.5247485,5.278678,0.490059,7961.744183
Wien,1863662,856.607639,2175.630842,1.104469,5.641626,2.776235,19.675286,132.392248,2.85,13.900583,7.185112,28.60248359,1.863662,0.407649,5337.021586
