cities,Population,Area,Dist. to center,Dist. to subcenter,Pop. density,Transit accessibility
Berlin,3303002.0,895.7983153057514,8.612556179155247,2.373656513372435,3687.216132877665,2832.7990162932124
Dresden,512829.0,328.2610601663084,4.4855945705275,2.943367558458057,1562.259622692327,2109.891165347923
Düsseldorf,586399.0,215.2481671004404,4.645594968391358,2.5727880285158755,2724.292652054831,1626.4018308357602
Frankfurt am Main,704016.0,252.8020736878019,5.235240696723506,2.2061773716483626,2784.85057392933,1179.987019313822
Kassel,190786.0,108.1013960969339,3.0993975345800617,2.666512365524705,1764.880074526728,774.6579181955699
Leipzig,503235.0,297.88524759659,4.328545944584136,2.440342880393869,1689.358583750693,1312.3217662846491
Magdeburg,228201.0,201.6832122549423,2.7736537677637916,1.810743727913097,1131.482375000738,1206.2164357509287
Potsdam,155925.0,188.3397217715682,4.263799706119816,1.9792984294373157,827.8922711222697,587.4146762150227
Clermont,284830.0,311.1662032228199,2.52834544131011,1.8884463202610842,915.362905900288,1125.258218918756
Dijon,253637.0,241.0687347227989,2.2774787764586986,2.538615744653675,1052.135608923543,1334.3283482497236
Lille,1140053.0,613.1360595236828,6.2966652605630316,1.9534669813620225,1859.380120108504,1156.7783457162964
Lyon,1382539.0,549.2420055617697,4.838263018011194,2.8192492138114384,2517.176373984591,1907.4939284142515
Montpellier,436558.0,438.6415114829662,3.549016940450701,2.394422007396612,995.2500813798443,907.9988168901402
Nantes,646521.0,535.1274890993161,3.9518558046615855,2.5584429448930712,1208.162565313497,1730.7428531147293
Nimes,150610.0,161.1510082767825,1.9736728352032131,1.8050648234366407,934.5892502349229,1023.7649822870917
Paris,6941530.0,815.27667535964,6.7144497404089885,2.9588039479267576,8514.324289895707,3933.9693482181938
Toulouse,890843.0,781.3605096070419,3.9487254030479226,2.3425187842061157,1140.11776772289,1438.3933467875688
Madrid,5279092.0,1352.90845342634,7.533558294832302,2.0852336794496424,3902.031942095055,4331.707433119669
Wien,1871960.0,856.6076394709165,5.648257461037895,2.7694768923064026,2185.317890879674,2217.061121163894
