geocode,score_spatiotemporal
1,13733.420130545266
2,14699.954250891487
3,13324.045061137342
4,9588.972370095918
5,10660.19906865551
6,6963.717680146495
7,11075.051095756835
8,8890.35237016423
9,8985.864199448028
10,13647.87956522857
11,13760.837363963921
12,7333.816790500999
13,9307.578443197444
14,7179.244031541572
15,6502.133288092261
16,5979.495106233067
17,8405.132840056116
18,9829.223349627253
19,9578.708089449776
20,9796.421840890715
22,2616.292955463722
26,5931.219595969888
27,6327.739637879268
29,5568.743484662405
30,5979.903605433229
31,4606.567924966537
32,5353.970387411893
33,4356.735683737203
34,5227.638845328229
35,4384.7991619617305
36,1844.8130347976023
37,4769.550698751963
38,4506.483522634912
39,4920.506503683157
40,4942.820841219867
41,6045.074870113183
42,3954.6410088394655
45,2013.7823168866607
46,4505.826033969199
49,2496.8589178413467
51,3865.3891217324585
52,2856.918879001765
55,2539.0304692595223
56,4662.340783786511
57,973.819448799171
58,2266.9275460282915
64,2228.0040532351495
67,2339.9045734467973
84,1141.36190250825
85,754.7612628602473
88,1981.7326928439634
91,2488.3707438418387
97,5019.9889768109
105,3647.8469141192304
110,633.0005437857336
111,512.7557324505299
115,1395.8413595028421
122,1831.6481473090705
127,2252.2042433222127
129,1064.8321739389323
079-08-141,31.96042990087105
079-08-142,161.2340806436991
079-08-143,183.5789933382361
079-08-147,1030.6286133973074
079-08-151,1644.2648356200818
079-08-152,2619.586023917257
079-08-153,1792.4494007560531
079-08-154,1946.2042211938558
079-08-155,2909.3083510672927
079-08-156,848.2865061459951
079-08-158,2763.82964612782
079-08-159,3726.3670002682134
079-08-160,2846.7861333647247
079-08-161,3849.0227922402523
079-08-167,2552.0749630347127
079-08-168,3546.043977247738
079-08-169,1031.3508221316483
079-08-170,2324.2974523817866
079-08-171,2875.617063507678
079-08-172,4524.955208523163
079-08-173,5619.583165122614
079-08-174,4627.394192209491
079-08-175,7096.112624350552
079-08-176,5761.703578163208
079-08-177,7072.626523099052
079-08-178,7565.831571423905
079-08-179,5884.368566648751
079-08-180,4328.201039374692
079-08-181,6739.966692588617
079-08-182,7578.694644149002
079-08-183,7004.996590064529
079-08-184,5502.518231277293
079-08-185,6150.561579768935
079-08-186,6228.472003476655
079-08-194,5702.074351618493
079-08-195,7560.231166318532
079-08-196,6500.61771832974
079-08-197,6065.447613938808
079-08-198,4987.046399996687
079-08-199A,6083.61193299802
079-09-200,1177.4324918453956
079-09-201,1466.3937716440198
079-09-202,1677.855649859843
079-09-203,1840.9180237378346
079-09-204,1193.987419297433
079-09-205,1494.5254599874693
079-09-206,3017.8287069788644
079-09-207,4310.633871993036
079-09-208,4539.624810522874
079-09-209,
079-09-210,4207.757302883142
079-09-211,4185.432303525467
079-09-212,3831.927582468721
079-09-213,1081.1529481611137
079-09-214,4655.085237974698
079-09-215,5662.153983930153
079-09-216,3956.060247016724
079-09-217,4645.519711363246
079-09-218,7854.932216600239
079-09-219,9579.22766807683
079-09-220,12739.244832744695
079-09-221,6356.3607819733525
079-09-222,6897.815069806978
079-09-223,889.0523259637209
079-09-224,3832.8934179830285
079-09-225,2992.645727892996
079-09-226,8105.892563241576
079-09-227,12571.298616324135
079-09-228,14116.879903832432
079-09-229,9962.632432203038
079-09-230,
079-09-231,13063.132445228657
079-10-232,1104.0129712431228
079-10-233,6696.838419547179
079-10-234,2354.415162012869
079-10-235,2689.637594204821
079-10-236,3821.6420568356507
079-10-237,1556.579959744584
079-10-238,2751.031578279528
079-10-239,4066.6960431976054
079-10-240,4439.255945300971
079-10-241,5492.943910365562
079-10-242,4338.546115060358
079-10-243,4434.429235284815
079-10-244,5626.421729444174
079-10-245,7982.132492843804
079-10-246,4284.4537578410545
079-10-247,5501.8633742434085
079-10-248,6501.587120866938
079-10-249,4641.727156565611
079-16-430,1343.1801750314935
079-16-431,2934.3501145442838
079-16-432,3607.7483433468487
079-16-433,2564.3640342878484
079-16-434,1580.7338488746761
079-16-435,3557.9987151139903
079-16-436,3434.1141090055494
079-16-437,2742.130305562127
079-16-438,388.1746821910346
079-16-439,202.0034420537387
079-16-440A,1424.491376886099
079-16-441,1640.840813609897
079-16-442,3127.0085389688243
079-16-443,3471.7140927154674
079-16-444,3451.536321191857
079-16-445,3448.0695012754713
079-16-446,2983.53971819535
079-16-447,3370.28300850402
079-16-448,3785.28523100806
079-16-449,3421.910024350873
079-16-450,4002.2663072374453
079-16-451,3086.927619258319
079-16-452,3074.447309470441
079-16-453,4108.170272552125
079-16-454,3171.8528205940065
079-16-455,3664.8986814733835
079-16-456,2653.300919402557
079-16-457,2645.726876118196
079-16-458,2440.7179170647287
079-16-459,2106.1543093447954
079-16-460,2430.492557389162
079-16-461,4262.55727223853
079-16-462,2827.1567277877684
079-16-463,4756.303149417921
079-17-483,2093.8956608868625
079-17-484,1094.7163479085955
079-17-485,522.9558404472411
079-17-486,1782.6715305768478
079-17-487,874.897371911519
079-17-488,2259.059342352713
079-17-489,1352.6140243109753
079-17-490,1691.5302377557698
079-17-491,714.5256718630064
079-17-492,525.7704663787321
079-17-493,450.38865779055664
079-18-507,816.3469914185637
079-18-508,275.06621929695973
079-18-509,535.4776519772257
079-18-511,143.43113352561545
079-18-513,877.1545961662655
079-18-514,1240.1220682931146
079-18-515,968.4223113780841
079-18-516,659.2363012493263
079-18-517,376.7232689968182
079-18-518,37.0611155345846
079-18-519,49.76236150291767
079-18-520,30.748292126551092
079-19-532,387.44323843615234
079-19-533,910.46416458937
079-19-534,220.99985399293186
079-19-535,134.5514140438571
079-19-536,966.920385848214
079-19-537,89.6534247576617
079-19-538,1160.0490738067715
079-19-539,279.8511396216905
079-20-555,2547.182763403451
079-20-560,4770.211599693146
079-20-561,4432.164961560442
079-20-562,4397.037249591962
079-20-563,4922.29090762896
079-20-564,4398.560538119764
079-20-565,4514.263410405536
079-20-566,4294.623980565417
079-20-567,4846.691689295544
079-20-568,3048.0653880513637
079-20-569,4661.997669987287
079-20-570,4196.902165870427
079-20-571,3765.6517961878862
079-20-572,3137.1262185909923
079-20-573,637.491323664309
079-21-575,67.93638454267959
079-21-585,501.1401094305053
006-001,67.96330995781072
006-002,624.5364391018188
006-003A,957.5874092185528
006-004A,1470.9341794803204
006-005,197.60323794173516
006-006A,843.2417368184472
006-008A,759.2688456705865
006-012,1539.167288140536
006-013A,1765.4534362163697
006-014,646.9084479924843
006-015,100.83246270251207
006-016A,243.9916097855054
006-017,901.992454412844
006-018,37.67706338953821
006-019,3.1741777210456923
134-001,195.21181398396544
134-002,99.28797268070676
134-003,372.35370168478846
134-004A,107.59391932886042
134-005,917.336183281591
134-006A,669.5638998921222
134-007,937.6056592821778
134-008,1075.3243125979595
134-009,1394.6837219276802
134-010,1418.6391754107851
134-011,1747.8322139925108
134-012,1773.1681402033146
134-013,1134.887356353259
134-014,2299.906577589458
134-015,1609.9987136434752
134-016,698.499748227735
007-001A,257.17827645914593
007-002,170.92804263439865
007-003,196.63817484181598
007-004,617.2186403911086
007-005,1610.9731928448862
007-006A,2942.7850936259115
007-007A,1540.5772827153703
007-008,1033.3072223274564
007-010,2978.5103166828735
007-011,2296.884712490533
007-012,2124.565724713025
007-013,1670.7383569082763
007-016,2245.20162778113
007-017,1863.6540382034489
007-022,1634.706584525939
007-025,2082.371658576887
007-026,951.139679831186
058-001,280.6329453245631
058-002,838.9063370563314
058-003A,855.1544416316482
058-004,1074.4360406297321
058-005,855.511022449902
058-009,2606.4802715588316
058-010,2008.0504447313979
058-011,571.5936823706686
058-012,900.7044902164112
058-013,697.826833986249
058-014,1334.2514965697324
058-015,1879.9225751313506
058-018,3064.6837127066356
058-019,2276.817191893695
058-020,151.0887488605626
058-021,760.4941137312182
058-024,2863.6630285438087
058-025,1587.5723277923312
058-026A,1162.3604106952057
058-027,189.51780302346845
058-028,625.2557961377838
058-029,515.7390497599306
065-001A,2121.4375218080895
065-002A,2776.2322815334046
065-003A,2070.939457878153
065-004,2371.0023754189842
065-005,2013.2710665390991
065-006,787.7797918874304
065-007,155.06137860223663
065-008,291.6816544797395
065-014,446.86333295686575
065-015,84.54184702592975
065-016,21.773026955447587
065-017,2580.082019398817
065-018,2788.882229596832
065-022,2330.9827166269
065-025,945.208136032287
065-026A,1609.840211706373
065-027,1226.5358399562463
065-028A,237.22658251214028
065-029,106.1634746090137
065-030,27.7153185893509
074-001,2115.1554348990026
074-002,2154.6319746716313
074-003,2059.296893759588
074-004,929.1531311171993
074-005A,1261.4816084057832
074-006,3486.4351765320303
074-007,3333.6031686912306
074-008,2873.4302872027774
074-009,3376.5163928053926
074-010,219.48231839154832
074-011A,1551.0690511103471
074-012,4270.415161397713
074-013,5444.750919946893
074-016,7988.267191755097
074-017,7021.616901908235
074-018,4808.176624044686
074-019,3116.589324878414
074-020,6624.28269112345
074-021,6864.358961797789
074-022,6315.774231402896
074-023,6189.406867356012
074-024A,4352.652247102795
074-025,2972.142521980787
074-028,6009.383564091409
074-029,1965.126058179702
074-032,5526.583742314464
074-033,3419.44530663956
074-034,889.7852801309714
074-036,1217.1092625827011
074-037,369.092151172637
074-038,930.3321422327829
092-001,507.15067552117205
092-002,105.24488482800378
092-003A,1450.7192872749126
092-004B,2631.228643984232
092-005,112.58658006559847
092-006,2246.7156660649734
092-007,2393.71231580187
092-008,3239.893910133062
092-009,3839.5191633894547
092-010,4253.154785547089
092-014,1070.0057942704877
092-015,2817.7602978772516
092-020,2610.558790612564
092-021,1202.704032194062
092-022,3970.683991854067
092-024,4113.059770333714
092-025,2976.499066493471
092-026,2879.107476672245
092-027,1771.9545727109446
092-028,
092-029,3236.8650658178103
092-030,1897.0780651202597
092-031,485.65878585070595
092-032,508.82362051675506
092-033,289.5771582743967
106-003,497.8906489690905
106-007,994.5931156751573
106-008,927.2389673029872
106-011,1031.2698316416115
106-012A,207.22676163009055
005-001,47.46904709356335
005-002,19.257728618903688
005-003,172.9158313459523
005-004,164.4497028752074
005-005,8.901416139110445
005-006,232.66347196160996
005-007,445.7090085817928
005-008,506.3436146771016
005-009,495.2480468399177
005-010,460.6469605681849
005-011A,698.9453536344524
005-012,501.85232815873997
005-013,364.3067202259608
005-014,328.47702681171467
005-015,551.2902027289757
005-016,404.84159880495343
005-017,220.6323839351098
005-018,836.6146203293692
005-019,837.8216311427752
005-020,620.717323749106
005-021,437.30117166675643
005-022,506.280618529126
005-023,812.09496432778
005-024A,619.5594308960577
005-025,284.64590132129433
005-026,43.30310654718877
005-027,190.90353843914951
005-028,384.9567614499908
005-029,28.428894025796843
123-001,2530.02670611533
123-002A,1534.6664325732331
123-003,423.14237306375196
123-004A,2153.638164553677
123-005,1557.8615968022066
123-006,1482.8235759029385
123-007,1489.7567891901742
123-008,73.89247244190636
123-009,85.52271426084997
130-001,242.9970351051496
130-002,517.6588788804378
130-003,963.7700381423849
130-004,355.05423831984143
130-005,192.60637225875863
130-006,2044.6848393342648
130-007,1584.3366461295811
130-010,28.342197039423105
148-001,144.9989364964768
148-003,1725.1841424006027
148-004,1497.5350335536334
148-005,2003.5131242475452
148-006,1566.070329245465
148-008,1967.2276365290868
080-001,68.6206720581979
080-002,1129.1845035577182
080-003,1849.1450509629292
080-004,1889.0118893656736
080-005,77.5864908382267
080-006,962.2922694740076
080-007,1505.1797150935395
080-008,615.7238713638237
080-009,1184.281180448079
080-010,1126.9340050608678
080-011,1076.8885035915978
080-012,1075.0397613264338
115-001,246.10159359719358
115-002,1218.568458296401
115-005,347.2222849664753
115-006,245.40621266954247
115-011,390.7395891203587
115-012,164.02316478626278
115-013,472.9852857731908
115-015,1179.349554370137
115-016,960.6207224939872
115-017A,720.8093844414934
115-018,924.5744822261759
115-019,1478.453114402549
115-020,1517.503813717431
115-021,224.07316031106205
115-022,655.7509842516909
127-001,183.24778279620642
127-002,453.27476630658504
127-003,422.78418320397503
127-004A,841.2491434008545
127-005,822.5719812789504
127-006,520.6686388924701
127-007,131.19998439501913
127-008,1206.3054746781052
127-009,638.5157658800567
127-010,1721.9849136596113
079-08-199B,8106.883827750506
079-16-440B,581.067796636885
006-003B,1186.1686293867333
006-004B,1636.7034606820846
006-006B,1354.3312717992426
006-008B,909.8190358077848
006-013B,1569.4708453358496
